velocity,gamma,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
14526.315789473683,-10.820512820512821,True,500000.0079112858,127.69994362080388,3530.651313864607,7.43288909601733,303.07205925150106,180.4184536534842,122.65360559801688
14526.315789473683,-10.76923076923077,True,499999.884778759,126.88995654733708,3531.402373720148,7.365592389222312,298.8635383396501,177.34147844192606,121.52205989772405
14526.315789473683,-10.717948717948719,True,499999.8902476922,126.87203441686552,3531.4323534870987,7.293838522947389,291.81408155044693,172.00956079672383,119.98706962429485
14526.315789473683,-10.666666666666666,True,500000.1116772409,127.00165949518487,3531.1649935940936,7.186529146779216,283.2011809789467,165.19907858801523,118.00210239093144
14526.315789473683,-10.615384615384615,True,500000.1032397941,128.03727863697213,3530.6962977930766,7.06576165714698,277.53605042593136,160.96829268760288,116.57869310479556
14526.315789473683,-10.564102564102564,True,499999.86583386775,128.0924956081999,3530.5703657409963,6.8602081827172166,267.17612034801687,153.10054715422115,114.23482006839446
14526.315789473683,-10.512820512820513,True,500000.12107792275,127.98273485741902,3530.817052972728,6.540023712944619,254.84943371492074,143.56154254314697,111.2949993446749
14526.315789473683,-10.461538461538462,False,,,,,,,
14526.315789473683,-10.41025641025641,False,,,,,,,
14526.315789473683,-10.35897435897436,False,,,,,,,
14526.315789473683,-10.307692307692308,False,,,,,,,
14526.315789473683,-10.256410256410255,False,,,,,,,
14526.315789473683,-10.205128205128204,False,,,,,,,
14526.315789473683,-10.153846153846153,False,,,,,,,
14526.315789473683,-10.102564102564102,False,,,,,,,
14526.315789473683,-10.051282051282051,False,,,,,,,
14526.315789473683,-10.0,False,,,,,,,
14631.578947368422,-12.0,False,,,,,,,
14631.578947368422,-11.948717948717949,False,,,,,,,
14631.578947368422,-11.897435897435898,False,,,,,,,
14631.578947368422,-11.846153846153847,False,,,,,,,
14631.578947368422,-11.794871794871796,False,,,,,,,
14631.578947368422,-11.743589743589745,False,,,,,,,
14631.578947368422,-11.692307692307692,False,,,,,,,
14631.578947368422,-11.64102564102564,False,,,,,,,
14631.578947368422,-11.58974358974359,False,,,,,,,
14631.578947368422,-11.538461538461538,False,,,,,,,
14631.578947368422,-11.487179487179487,False,,,,,,,
14631.578947368422,-11.435897435897436,False,,,,,,,
14631.578947368422,-11.384615384615385,False,,,,,,,
14631.578947368422,-11.333333333333334,False,,,,,,,
14631.578947368422,-11.282051282051283,False,,,,,,,
14631.578947368422,-11.23076923076923,False,,,,,,,
14631.578947368422,-11.179487179487179,False,,,,,,,
14631.578947368422,-11.128205128205128,False,,,,,,,
14631.578947368422,-11.076923076923077,False,,,,,,,
14631.578947368422,-11.025641025641026,False,,,,,,,
14631.578947368422,-10.974358974358974,True,499999.88329590956,127.40899798627379,3531.1111469730445,7.651285745573681,322.79066670394496,195.5651148703257,127.58938077335053
14631.578947368422,-10.923076923076923,False,,,,,,,
14631.578947368422,-10.871794871794872,True,500000.07485185034,128.05474914169872,3530.668640438979,7.600368309505581,317.4080055378081,191.49151998773235,126.25711369766158
14631.578947368422,-10.820512820512821,True,500000.1234533695,128.03070433743642,3530.712777707079,7.5290563710692755,313.3406866358316,188.14179430556962,125.19889233026201
